time,house_price,rate,house_price_CSI,exchange_rate,house_CSI,land_rate,CLI
13-Jan,79.4,2.75,95,1089,114.2,-0.058,89.8
13-Feb,79.2,2.75,94,1083,122.1,0.055,90.1
13-Mar,79.1,2.75,101,1111,114.9,0.105,90.4
13-Apr,79.1,2.75,105,1101,118.6,0.157,90.7
13-May,79.3,2.5,112,1129.7,117.7,0.152,91
13-Jun,79.1,2.5,109,1142,108.5,0.097,91.4
13-Jul,78.7,2.5,98,1123.5,114.5,-0.039,91.9
13-Aug,78.4,2.5,98,1110,124.6,-0.026,92.3
13-Sep,78.4,2.5,105,1074.7,129.9,0.145,92.5
13-Oct,78.7,2.5,110,1060.7,130.9,0.21,92.9
13-Nov,78.7,2.5,107,1058.2,124.7,0.213,93.3
13-Dec,78.7,2.5,106,1055.4,114.7,0.189,93.7
14-Jan,78.9,2.5,112,1070.4,132.3,0.19,94
14-Feb,79.1,2.5,119,1067.5,136.1,0.206,94.3
14-Mar,79.2,2.5,119,1064.7,119.3,0.291,94.5
14-Apr,79.2,2.5,112,1033.2,118.5,0.23,94.8
14-May,79.2,2.5,108,1020.1,115.8,0.182,94.9
14-Jun,79.1,2.5,109,1011.8,108.5,0.181,95.2
14-Jul,79.1,2.5,108,1027.9,117,0.207,95.4
14-Aug,79.1,2.25,116,1014,128.1,0.186,95.8
14-Sep,79.3,2.25,122,1055.2,130.9,0.294,96.2
14-Oct,79.5,2,125,1068.5,132.3,0.29,96.6
14-Nov,79.6,2,115,1107.9,125.1,0.198,96.9
14-Dec,79.6,2,113,1099.3,116.2,0.176,97.2
15-Jan,79.7,2,112,1093.5,137.3,0.173,97.8
15-Feb,79.8,2,114,1098.4,140.5,0.183,98.2
15-Mar,80.1,1.75,124,1109.5,142.6,0.213,98.7
15-Apr,80.5,1.75,122,1072.4,143.7,0.228,99.2
15-May,80.9,1.75,123,1108.2,141.4,0.229,99.6
15-Jun,81.3,1.5,122,1115.5,132.7,0.229,99.9
15-Jul,81.6,1.5,116,1170,142.5,0.242,100.2
15-Aug,81.9,1.5,115,1182.5,140,0.223,100.5
15-Sep,82.2,1.5,119,1185.3,134.8,0.22,101.1
15-Oct,82.6,1.5,120,1140.1,141.8,0.241,101.4
15-Nov,83,1.5,111,1158.1,131.9,0.236,101.7
15-Dec,83.2,1.5,100,1172.5,112.5,0.239,101.7
16-Jan,83.3,1.5,103,1199.1,119.8,0.187,101.7
16-Feb,83.3,1.5,102,1236.7,122.3,0.176,101.8
16-Mar,83.3,1.5,104,1143.5,121.2,0.208,102.1
16-Apr,83.4,1.5,106,1139.3,126.6,0.225,102.5
16-May,83.5,1.5,109,1191.7,128.8,0.257,102.9
16-Jun,83.7,1.25,116,1151.8,128.9,0.275,103.2
16-Jul,83.9,1.25,115,1120.2,131.7,0.282,103.6
16-Aug,84.1,1.25,110,1114.8,133.4,0.272,104.1
16-Sep,84.3,1.25,115,1101.3,129.7,0.273,104.6
16-Oct,84.7,1.25,121,1144.5,131.1,0.286,105.1
16-Nov,84.9,1.25,107,1169.1,115.5,0.254,105.6
16-Dec,85,1.25,97,1207.7,103.4,0.239,106.1
17-Jan,85,1.25,92,1162.1,108.8,0.191,106.6
17-Feb,85.1,1.25,91,1130.7,114.4,0.232,107.2
17-Mar,85.2,1.25,104,1118.4,116,0.322,107.6
17-Apr,85.4,1.25,107,1137.9,120.8,0.333,108.1
17-May,85.7,1.25,111,1119.5,128.4,0.509,108.4
17-Jun,86.3,1.25,118,1144.1,127.5,0.492,108.9
17-Jul,86.6,1.25,118,1119,136.8,0.484,109.3
17-Aug,87,1.25,97,1127.8,117.8,0.397,109.8
17-Sep,87.1,1.25,103,1145.4,118.9,0.317,110.1
17-Oct,87.3,1.25,111,1120.4,121.4,0.278,110.4
17-Nov,87.6,1.5,109,1088.2,122.1,0.334,110.7
17-Dec,88.1,1.5,110,1070.5,116.6,0.345,110.8
18-Jan,88.9,1.5,118,1067.9,129.2,0.417,111.2
18-Feb,89.7,1.5,119,1082.8,128.5,0.417,111.5
18-Mar,90.2,1.5,113,1063.5,117.6,0.44,111.8
18-Apr,90.5,1.5,103,1068,108.8,0.302,111.8
18-May,90.7,1.5,104,1077.7,111.1,0.36,112.1
